id,工作部门,薪资范围,公司基本信息,岗位要求,工作福利,是否接受远程办公,公司是否有标志,工作类型,经验要求,学历要求,公司行业类别,公司地点,是否为虚假招聘信息
71,未知,高于50000,积极,积极,未知,否,否,全职,不适用,不确定,营销,美国,1
72,未知,高于50000,积极,积极,未知,否,否,其他,不适用,不确定,营销,美国,1
73,营销,未知,积极,积极,未知,否,是,全职,中高级,学士,其他,美国,0
74,其他,未知,积极,积极,积极,否,是,全职,入门级,高中或同等学历,其他,美国,1
75,未知,未知,积极,积极,积极,否,是,合同制,中高级,学士,其他,美国,0
76,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
77,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
78,未知,未知,中立,未知,未知,否,否,全职,未知,未知,健康,美国,1
79,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
80,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
81,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
82,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
83,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
84,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
85,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
86,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
87,未知,低于5000,积极,积极,未知,否,否,全职,不适用,不确定,计算机,美国,1
88,未知,高于50000,消极,中立,积极,否,是,全职,入门级,未知,服务,美国,0
89,未知,未知,中立,积极,未知,否,否,兼职,不适用,不确定,营销,英国,1
90,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,美国,1
91,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
92,未知,未知,积极,消极,未知,是,否,未知,入门级,一些高中课程,未知,美国,1
93,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
94,未知,未知,积极,积极,积极,否,是,全职,中高级,硕士,互联网,美国,0
95,营销,未知,积极,积极,中立,否,是,全职,未知,未知,其他,美国,0
96,其他,高于50000,积极,积极,积极,否,是,合同制,助理,学士,其他,美国,0
97,未知,未知,消极,积极,未知,否,否,合同制,未知,未知,房地产,美国,1
98,未知,未知,消极,积极,未知,否,否,合同制,未知,未知,房地产,美国,1
99,工程,未知,积极,中立,积极,否,是,全职,中高级,学士,互联网,其他,0
100,未知,未知,积极,未知,未知,否,是,未知,未知,未知,未知,其他,0
101,未知,未知,消极,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
102,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,美国,1
103,其他,未知,积极,积极,积极,否,是,全职,中高级,学士,服务,美国,1
104,未知,未知,积极,积极,积极,是,是,兼职,助理,学士,计算机,未知,0
105,其他,未知,积极,积极,未知,否,否,全职,中高级,学士,其他,希腊,0
106,未知,未知,中立,未知,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
107,未知,未知,积极,积极,积极,否,是,全职,实习,学士,营销,英国,0
108,未知,未知,积极,积极,未知,否,否,全职,不适用,未知,休闲,美国,1
109,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,0
110,未知,高于50000,消极,中立,未知,否,否,全职,入门级,不确定,其他,美国,1
111,未知,高于50000,积极,未知,未知,否,否,全职,入门级,高中或同等学历,服务,美国,0
112,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,其他,1
113,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,未知,1
114,销售,未知,积极,未知,未知,否,是,全职,助理,学士,其他,其他,0
115,其他,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
116,其他,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
117,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
118,未知,未知,中立,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
119,未知,低于5000,积极,积极,消极,否,是,合同制,助理,未知,其他,其他,0
120,未知,未知,积极,积极,未知,是,否,全职,不适用,学士,营销,未知,0
121,未知,未知,积极,中立,积极,否,是,未知,入门级,未知,石油,美国,0
122,其他,未知,积极,未知,积极,否,是,未知,未知,未知,未知,美国,0
123,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
124,未知,未知,积极,中立,积极,否,是,全职,入门级,高中或同等学历,健康,美国,0
125,未知,未知,积极,未知,积极,否,是,未知,未知,未知,未知,未知,0
126,其他,低于5000,积极,积极,积极,否,是,全职,入门级,高中或同等学历,其他,美国,0
127,其他,未知,积极,未知,积极,否,是,未知,未知,未知,未知,美国,0
128,销售,未知,积极,未知,积极,否,是,未知,未知,未知,未知,希腊,0
129,未知,未知,积极,未知,积极,否,是,未知,未知,未知,未知,美国,0
130,未知,未知,积极,积极,未知,否,否,全职,中高级,不确定,服务,美国,0
131,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,计算机,美国,0
132,未知,未知,积极,积极,积极,否,是,全职,助理,学士,营销,其他,0
133,未知,低于5000,积极,积极,积极,否,是,全职,中高级,学士,其他,英国,0
134,未知,未知,积极,积极,积极,是,是,兼职,入门级,高中或同等学历,互联网,美国,0
135,未知,未知,积极,未知,积极,否,是,未知,未知,未知,未知,未知,0
136,未知,未知,积极,积极,消极,否,是,未知,未知,未知,健康,美国,0
137,未知,未知,积极,积极,积极,否,是,全职,不适用,高中或同等学历,其他,英国,0
138,未知,低于5000,积极,积极,中立,是,是,全职,中高级,不确定,其他,美国,0
139,未知,未知,积极,积极,积极,否,是,全职,入门级,学士,互联网,美国,0
140,未知,未知,积极,积极,积极,否,是,合同制,助理,未知,其他,美国,0
141,未知,未知,积极,积极,积极,否,是,全职,中高级,未知,计算机,美国,0
142,未知,未知,积极,积极,积极,否,是,全职,未知,未知,服务,美国,0
143,其他,未知,积极,未知,积极,否,是,未知,未知,未知,未知,新西兰,0
144,销售,未知,积极,积极,积极,否,是,全职,未知,未知,其他,德国,0
145,其他,未知,积极,中立,未知,否,否,未知,未知,未知,未知,美国,0
146,销售,5000-50000,积极,积极,积极,否,是,全职,助理,学士,休闲,美国,0
147,未知,未知,积极,积极,积极,否,是,全职,助理,学士,服务,新西兰,0
148,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,健康,美国,0
149,未知,未知,积极,积极,积极,否,是,全职,入门级,不确定,服务,美国,0
150,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,其他,美国,0
151,未知,未知,积极,积极,未知,否,否,全职,中高级,学士,服务,美国,0
152,其他,未知,积极,未知,消极,否,是,全职,助理,学士,服务,美国,0
153,其他,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
154,其他,未知,积极,积极,积极,否,是,全职,助理,学士,营销,英国,0
155,服务,未知,积极,未知,未知,否,否,全职,不适用,高中或同等学历,电信,美国,1
156,未知,未知,积极,积极,积极,否,是,全职,未知,未知,服务,德国,0
157,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,0
158,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,其他,美国,0
159,营销,未知,积极,积极,积极,否,是,全职,中高级,未知,其他,德国,0
160,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
161,未知,未知,积极,未知,积极,否,否,全职,未知,未知,未知,美国,0
162,未知,未知,积极,未知,积极,否,是,未知,未知,未知,未知,美国,0
163,未知,未知,积极,积极,积极,否,是,全职,未知,未知,计算机,美国,0
164,未知,未知,积极,积极,积极,否,是,全职,入门级,高中或同等学历,服务,美国,0
165,未知,未知,消极,积极,积极,否,是,兼职,未知,未知,未知,英国,0
166,工程,未知,积极,积极,积极,否,是,全职,中高级,学士,计算机,英国,0
167,未知,低于5000,积极,积极,未知,否,是,全职,入门级,学士,未知,英国,0
168,未知,未知,积极,中立,未知,否,是,全职,助理,学士,其他,美国,0
169,未知,未知,积极,积极,未知,否,否,全职,助理,学士,计算机,美国,0
170,未知,低于5000,积极,积极,未知,否,否,全职,中高级,未知,服务,其他,0
171,其他,未知,积极,积极,积极,否,是,全职,中高级,学士,计算机,其他,0
172,销售,未知,消极,积极,积极,否,是,未知,未知,未知,未知,希腊,0
173,未知,未知,积极,未知,积极,否,是,合同制,中高级,不确定,服务,美国,0
174,未知,未知,积极,积极,消极,否,是,全职,助理,未知,服务,美国,0
175,未知,未知,积极,积极,积极,否,是,全职,助理,未知,服务,美国,0
176,未知,未知,积极,积极,积极,否,是,全职,助理,其他,健康,美国,0
177,未知,低于5000,积极,中立,积极,否,是,全职,助理,学士,服务,美国,0
178,未知,未知,积极,未知,积极,否,是,未知,未知,未知,未知,未知,0
179,其他,未知,积极,积极,积极,否,是,未知,未知,未知,未知,希腊,0
180,未知,未知,积极,积极,积极,否,是,兼职,入门级,高中或同等学历,服务,美国,0
181,未知,未知,积极,未知,中立,否,否,未知,未知,未知,未知,英国,0
182,未知,未知,积极,积极,积极,否,是,全职,不适用,不确定,健康,英国,0
183,营销,未知,积极,积极,中立,否,是,全职,实习,未知,其他,德国,0
184,其他,5000-50000,积极,积极,积极,否,是,全职,助理,学士,计算机,德国,0
185,未知,低于5000,积极,中立,积极,否,是,全职,入门级,高中或同等学历,电信,美国,0
186,销售,未知,积极,积极,积极,否,是,全职,中高级,学士,营销,美国,0
187,工程,未知,积极,积极,未知,否,否,全职,助理,学士,互联网,英国,0
188,未知,未知,积极,积极,积极,否,是,全职,中高级,不确定,房地产,美国,0
189,营销,低于5000,积极,积极,积极,否,是,全职,入门级,不确定,计算机,德国,0
190,未知,高于50000,积极,积极,未知,否,是,全职,中高级,学士,休闲,英国,0
191,服务,未知,积极,未知,积极,否,是,未知,未知,未知,未知,美国,0
192,未知,高于50000,积极,中立,未知,否,否,全职,不适用,不确定,其他,美国,0
193,未知,未知,积极,未知,积极,否,是,全职,中高级,未知,服务,美国,0
194,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,0
195,未知,5000-50000,积极,未知,积极,否,是,全职,入门级,未知,服务,美国,0
196,未知,低于5000,积极,中立,积极,否,否,全职,中高级,其他,其他,英国,0
197,未知,未知,积极,积极,未知,否,是,合同制,未知,未知,未知,美国,0
198,未知,未知,积极,积极,未知,否,否,全职,中高级,学士,其他,英国,0
199,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
200,未知,未知,积极,积极,积极,否,否,未知,未知,未知,未知,希腊,0
201,未知,未知,积极,积极,积极,否,是,未知,不适用,高中或同等学历,其他,英国,0
202,工程,未知,积极,积极,中立,是,是,全职,中高级,学士,互联网,美国,0
203,其他,未知,消极,积极,未知,否,是,未知,未知,未知,未知,希腊,0
204,其他,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,其他,美国,0
205,未知,未知,积极,积极,积极,否,是,兼职,入门级,高中或同等学历,服务,美国,0
206,未知,未知,积极,积极,中立,否,是,未知,未知,未知,未知,未知,0
207,未知,未知,积极,积极,积极,否,是,未知,不适用,高中或同等学历,未知,英国,0
208,未知,低于5000,积极,积极,积极,否,是,全职,入门级,不确定,计算机,英国,0
209,未知,未知,积极,积极,积极,否,是,全职,入门级,不确定,计算机,其他,0
210,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,希腊,0
211,其他,未知,积极,积极,未知,否,否,未知,未知,未知,未知,其他,0
212,未知,未知,积极,未知,积极,否,否,合同制,未知,未知,未知,美国,0
213,未知,未知,中立,积极,积极,否,是,兼职,未知,未知,未知,未知,0
214,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,计算机,希腊,0
215,其他,未知,中立,积极,中立,否,是,全职,入门级,未知,服务,美国,0
216,未知,未知,消极,积极,积极,否,是,未知,未知,未知,未知,美国,0
217,未知,未知,积极,未知,未知,是,否,合同制,未知,未知,互联网,英国,0
218,工程,高于50000,积极,积极,积极,否,是,全职,中高级,学士,其他,美国,0
219,未知,低于5000,积极,积极,未知,否,否,合同制,助理,学士,计算机,美国,0
220,其他,未知,积极,积极,中立,否,是,全职,入门级,未知,其他,美国,0
221,未知,未知,积极,未知,积极,否,是,全职,入门级,未知,计算机,其他,0
222,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,希腊,0
223,销售,未知,积极,积极,中立,否,否,未知,未知,未知,未知,美国,0
224,其他,未知,中立,积极,积极,否,是,全职,主管,硕士,计算机,英国,0
225,未知,未知,积极,积极,消极,否,是,全职,不适用,未知,服务,美国,0
226,未知,高于50000,积极,积极,未知,否,否,全职,助理,学士,房地产,美国,0
227,其他,未知,中立,积极,积极,否,否,全职,中高级,未知,服务,美国,0
228,未知,未知,积极,积极,未知,否,否,全职,入门级,未知,营销,美国,0
229,其他,低于5000,积极,积极,积极,否,是,全职,实习,学士,其他,希腊,0
230,未知,未知,积极,积极,未知,否,否,全职,助理,不确定,服务,美国,0
231,未知,未知,消极,积极,积极,否,是,合同制,未知,学士,其他,美国,0
232,其他,未知,积极,中立,积极,否,是,全职,中高级,不确定,互联网,英国,0
233,未知,未知,积极,积极,未知,否,否,全职,助理,学士,健康,美国,0
234,未知,未知,积极,积极,积极,否,是,全职,助理,学士,计算机,新西兰,0
235,未知,未知,积极,消极,积极,否,是,全职,实习,高中或同等学历,未知,英国,0
236,未知,低于5000,积极,积极,积极,是,是,全职,中高级,其他,互联网,美国,0
237,未知,未知,积极,未知,积极,否,是,未知,未知,未知,未知,希腊,0
238,未知,未知,积极,积极,积极,否,是,全职,入门级,高中或同等学历,其他,美国,0
239,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,未知,0
240,未知,未知,积极,积极,积极,否,是,未知,未知,未知,健康,英国,0
241,未知,未知,积极,积极,积极,否,是,全职,未知,未知,互联网,美国,0
242,工程,未知,积极,积极,积极,否,是,全职,助理,学士,其他,德国,0
243,未知,低于5000,积极,积极,积极,是,是,全职,入门级,高中或同等学历,电信,美国,0
244,销售,未知,积极,积极,积极,否,是,全职,未知,未知,其他,英国,0
245,未知,未知,积极,积极,积极,是,是,兼职,中高级,学士,互联网,英国,0
246,未知,未知,积极,中立,积极,是,是,合同制,中高级,学士,服务,美国,0
247,未知,低于5000,积极,积极,积极,是,是,全职,入门级,高中或同等学历,电信,美国,0
248,未知,未知,积极,积极,积极,否,是,全职,未知,学士,其他,美国,0
249,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,0
250,未知,未知,积极,积极,未知,否,是,未知,未知,未知,未知,美国,0
251,其他,未知,积极,积极,中立,否,是,未知,未知,未知,未知,英国,0
252,其他,高于50000,积极,积极,积极,否,否,全职,主管,硕士,健康,美国,0
253,其他,未知,积极,未知,积极,否,是,全职,中高级,未知,计算机,英国,0
254,未知,未知,积极,积极,积极,否,是,全职,未知,未知,石油,美国,0
255,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,0
256,其他,未知,积极,未知,中立,否,是,未知,未知,未知,未知,希腊,0
257,销售,未知,积极,中立,积极,否,是,全职,中高级,学士,计算机,美国,0
258,其他,未知,积极,未知,积极,否,是,全职,不适用,不确定,健康,英国,0
259,未知,未知,积极,积极,积极,否,是,全职,不适用,高中或同等学历,其他,英国,0
260,其他,低于5000,中立,积极,中立,否,是,全职,未知,未知,其他,美国,0
261,未知,未知,积极,积极,积极,否,是,未知,不适用,高中或同等学历,未知,英国,0
262,销售,未知,积极,积极,未知,否,否,全职,中高级,学士,其他,希腊,0
263,未知,低于5000,积极,积极,未知,否,否,全职,不适用,不确定,其他,英国,0
264,未知,未知,积极,未知,积极,否,否,全职,未知,未知,未知,美国,0
265,其他,未知,积极,积极,积极,否,是,全职,未知,未知,其他,美国,0
266,其他,未知,积极,积极,积极,否,是,全职,入门级,不确定,服务,其他,0
267,营销,未知,积极,积极,中立,否,是,全职,实习,未知,计算机,英国,0
268,其他,未知,积极,积极,积极,否,是,全职,中高级,学士,计算机,美国,0
269,未知,低于5000,中立,积极,积极,否,是,全职,未知,学士,服务,英国,0
270,未知,高于50000,积极,积极,积极,否,是,全职,未知,未知,其他,美国,0
271,未知,高于50000,积极,积极,未知,否,是,全职,中高级,学士,计算机,美国,0
272,未知,未知,积极,积极,积极,否,是,全职,入门级,未知,其他,美国,0
273,未知,未知,积极,积极,积极,否,是,全职,未知,未知,互联网,英国,0
274,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,营销,其他,0
275,未知,未知,积极,积极,积极,否,是,全职,入门级,高中或同等学历,健康,美国,0
276,未知,高于50000,积极,未知,积极,否,是,全职,助理,未知,其他,非洲联盟,0
277,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,0
278,销售,未知,积极,积极,积极,否,是,全职,助理,不确定,服务,美国,0
279,销售,未知,积极,积极,积极,否,是,全职,不适用,不确定,服务,英国,0
280,其他,未知,积极,积极,未知,否,否,全职,不适用,学士,营销,希腊,0
281,未知,未知,积极,未知,积极,否,是,未知,未知,未知,其他,英国,0
282,其他,高于50000,积极,积极,积极,否,是,全职,不适用,学士,服务,新西兰,0
283,未知,未知,积极,积极,未知,是,否,兼职,中高级,未知,互联网,美国,0
284,其他,高于50000,积极,未知,未知,否,否,全职,中高级,学士,其他,美国,0
285,工程,未知,积极,积极,积极,否,是,全职,中高级,未知,计算机,美国,0
286,其他,未知,积极,未知,积极,否,是,全职,入门级,不确定,其他,美国,0
287,未知,未知,积极,积极,积极,否,是,未知,未知,未知,未知,美国,0
288,其他,未知,积极,积极,积极,否,是,全职,未知,未知,服务,美国,0
289,未知,未知,积极,积极,积极,否,是,全职,未知,未知,营销,美国,0
290,未知,未知,积极,中立,积极,否,否,全职,未知,未知,未知,其他,0
291,未知,未知,中立,积极,积极,否,是,全职,不适用,学士,其他,美国,0
292,其他,未知,中立,积极,消极,否,是,未知,未知,未知,未知,其他,0
293,未知,未知,积极,积极,积极,是,是,全职,中高级,未知,其他,美国,0
294,未知,未知,积极,积极,积极,否,是,全职,入门级,学士,其他,美国,0
295,其他,未知,积极,积极,未知,否,否,未知,未知,未知,未知,其他,0
296,其他,未知,积极,积极,积极,否,是,全职,中高级,未知,服务,英国,0
297,未知,未知,积极,积极,积极,否,是,全职,助理,其他,健康,英国,0
298,未知,未知,积极,积极,积极,否,是,全职,入门级,不确定,服务,美国,0
299,未知,未知,积极,未知,积极,否,是,全职,中高级,学士,未知,美国,0
300,其他,未知,积极,积极,积极,否,是,全职,助理,学士,会计,希腊,0
301,其他,未知,积极,积极,积极,否,是,全职,入门级,未知,计算机,英国,0
302,服务,未知,中立,中立,积极,否,是,全职,助理,学士,服务,美国,0
303,其他,未知,积极,未知,积极,否,是,全职,未知,学士,其他,其他,0
304,未知,未知,积极,积极,积极,否,是,全职,未知,未知,未知,美国,0
305,营销,高于50000,积极,积极,积极,否,是,全职,入门级,学士,互联网,美国,0
306,其他,未知,积极,积极,积极,否,是,全职,助理,学士,互联网,美国,0
307,其他,未知,积极,积极,积极,否,是,全职,未知,未知,其他,美国,0
308,未知,未知,积极,积极,积极,是,是,合同制,中高级,学士,互联网,美国,0
309,其他,未知,积极,积极,未知,否,否,未知,未知,未知,未知,其他,0
310,销售,高于50000,积极,积极,积极,否,是,全职,不适用,高中或同等学历,其他,美国,0
311,销售,未知,积极,积极,积极,否,是,全职,中高级,高中或同等学历,营销,美国,0
312,其他,未知,积极,积极,积极,否,是,未知,未知,未知,媒体,希腊,0
313,其他,未知,积极,中立,积极,否,是,全职,助理,未知,营销,其他,0
314,未知,未知,中立,积极,积极,否,是,全职,未知,不确定,计算机,美国,0
315,未知,未知,积极,未知,积极,否,是,临时,实习,未知,其他,美国,0
316,其他,未知,积极,未知,积极,否,是,未知,未知,未知,未知,美国,0
317,未知,未知,积极,积极,积极,否,是,全职,入门级,学士,媒体,德国,0
318,其他,未知,消极,积极,积极,否,是,全职,中高级,学士,服务,希腊,0
319,未知,未知,中立,积极,积极,否,是,合同制,未知,学士,其他,美国,0
320,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
321,未知,未知,积极,积极,未知,否,否,临时,不适用,不确定,其他,英国,0
322,未知,低于5000,积极,积极,积极,否,是,全职,中高级,不确定,媒体,英国,0
323,未知,低于5000,积极,积极,未知,否,是,全职,中高级,不确定,服务,其他,0
324,未知,未知,中立,积极,积极,否,是,兼职,助理,其他,健康,美国,0
325,未知,未知,积极,中立,积极,否,是,全职,中高级,未知,其他,其他,0
326,未知,未知,积极,积极,未知,否,否,兼职,未知,未知,未知,非洲联盟,1
327,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,互联网,其他,0
328,其他,未知,积极,积极,积极,否,是,兼职,入门级,未知,其他,美国,0
329,未知,未知,积极,积极,积极,否,是,全职,执行级,未知,健康,美国,0
330,营销,未知,积极,中立,未知,否,是,全职,不适用,不确定,服务,德国,0
331,未知,未知,积极,积极,未知,否,是,全职,助理,不确定,营销,美国,0
332,未知,未知,积极,未知,积极,否,否,全职,未知,未知,未知,美国,0
333,其他,未知,积极,未知,中立,否,是,全职,助理,高中或同等学历,健康,美国,0
334,未知,未知,中立,积极,中立,否,是,全职,中高级,未知,健康,其他,0
335,未知,未知,积极,中立,积极,否,是,未知,未知,未知,未知,美国,0
336,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,英国,0
337,未知,未知,积极,积极,积极,否,否,未知,未知,未知,未知,其他,0
338,其他,未知,积极,积极,积极,否,是,全职,主管,未知,互联网,英国,0
339,销售,高于50000,积极,积极,积极,否,是,全职,未知,学士,营销,美国,0
340,营销,未知,积极,积极,积极,否,是,兼职,实习,其他,计算机,美国,0
341,工程,未知,积极,积极,积极,否,是,全职,中高级,学士,服务,希腊,0
342,未知,低于5000,积极,积极,未知,否,否,合同制,不适用,未知,其他,美国,0
343,未知,未知,积极,消极,积极,否,是,未知,不适用,高中或同等学历,未知,英国,0
344,未知,未知,积极,积极,未知,否,否,全职,不适用,未知,其他,美国,0
