"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"45","X107",0.01121,0.03456,0.32438,0.74567,-0.05654,0.07896
"46","X108",-0.13309,0.09544,-1.39441,0.16329,-0.32022,0.05404
"47","X109",0.43956,0.04425,9.93409,0,0.35281,0.52632
"48","X110",-0.12735,0.06573,-1.93758,0.05276,-0.25622,0.00152
"49","X111",8.2382,0.45344,18.16809,0,7.34915,9.12724
"50","X112",-0.4632,0.12506,-3.70386,0.00022,-0.70839,-0.218
"51","X115",0.98531,0.08438,11.67738,0,0.81987,1.15074
"52","X116",1.09287,0.09301,11.75032,0,0.91051,1.27522
"53","X117",0.83392,0.1485,5.61576,0,0.54277,1.12507
"54","X118",0.88522,0.50552,1.7511,0.08002,-0.10593,1.87637
"55","X119",-1.65403,0.09829,-16.8273,0,-1.84675,-1.46131
"56","X121",0.04823,0.04018,1.20048,0.23004,-0.03054,0.127
"57","X122",0.77757,0.28551,2.7234,0.00649,0.21777,1.33737
"58","X123",-0.03132,0.07326,-0.42754,0.66901,-0.17495,0.11231
"59","X127",3.49183,0.15759,22.15758,0,3.18285,3.80081
"60","X129",-0.15822,0.08482,-1.86531,0.06222,-0.32454,0.00809
"61","X132",0.43859,0.0875,5.01233,0,0.26703,0.61015
"62","X134",-0.35194,0.06463,-5.44513,0,-0.47866,-0.22521
"63","X135",-0.38572,0.0708,-5.44786,0,-0.52453,-0.2469
"64","X137",-2.62774,0.22375,-11.74424,0,-3.06643,-2.18905
"65","X138",-0.34832,0.09054,-3.8472,0.00012,-0.52584,-0.17081
"66","X139",-0.36068,0.11187,-3.22414,0.00128,-0.58002,-0.14134
"67","X142",0.55736,0.14734,3.78273,0.00016,0.26847,0.84626
"68","X143",-0.04527,0.09195,-0.49232,0.62252,-0.22554,0.13501
"69","X144",-0.07509,0.07079,-1.06084,0.28884,-0.21388,0.0637
"70","X145",-0.08634,0.06805,-1.26881,0.2046,-0.21976,0.04708
"71","X146",-0.25052,0.11329,-2.21128,0.02708,-0.47264,-0.02839
"72","X147",-1.12808,0.14867,-7.58774,0,-1.41957,-0.83658
"73","X148",0.87794,0.14666,5.98616,0,0.59039,1.16549
"74","X149",0.29724,0.0586,5.07237,0,0.18235,0.41214
"75","X151",-0.11161,0.05594,-1.995,0.04612,-0.22129,-0.00192
"76","X152",0.01013,0.03026,0.33488,0.73774,-0.04919,0.06946
